trade_idx,timestamp,symbol,side,entry_price,quantity,stop_loss,take_profit,strategy,strength,pnl,exit_price,exit_reason
0,2025-10-29 09:55:00+00:00,XAUUSD,BUY,4001.52,0.02,3984.9592857142857,4034.5814285714287,continuation_breakout,0.6964021016522254,-33.12142857142879,3984.9592857142857,stop_loss
1,2025-11-05 06:30:00+00:00,XAUUSD,BUY,3967.57,0.02,3957.935,3986.78,continuation_breakout,0.7911856474258937,38.42000000000029,3986.78,take_profit
2,2025-11-06 05:20:00+00:00,XAUUSD,BUY,3986.31,0.02,3976.9942857142855,4004.881428571429,continuation_breakout,0.6677746364901319,37.14285714285762,4004.881428571429,take_profit
3,2025-11-12 18:30:00+00:00,XAUUSD,BUY,4193.86,0.02,4172.525000000001,4236.469999999999,continuation_breakout,0.7526741731175283,85.21999999999943,4236.469999999999,take_profit
4,2025-11-17 21:25:00+00:00,XAUUSD,SELL,4056.49,0.02,4070.046428571429,4029.4371428571426,continuation_breakout,0.587691931706534,54.105714285714555,4029.4371428571426,take_profit
5,2025-11-19 19:00:00+00:00,XAUUSD,SELL,4060.93,0.02,4088.9221428571427,4005.0057142857145,continuation_breakout,0.8284870327710496,-55.984285714285605,4088.9221428571427,stop_loss
6,2025-11-24 23:40:00+00:00,XAUUSD,BUY,4139.32,0.02,4131.172142857143,4155.555714285714,continuation_breakout,0.7691405220142515,-16.29571428571441,4131.172142857143,stop_loss
7,2025-11-25 19:30:00+00:00,XAUUSD,BUY,4157.47,0.02,4140.928571428571,4190.492857142858,continuation_breakout,0.5872302821478693,-33.08285714285808,4140.928571428571,stop_loss
8,2025-11-26 05:05:00+00:00,XAUUSD,BUY,4166.82,0.02,4153.765714285714,4192.868571428572,continuation_breakout,0.6497895397764603,-26.10857142857166,4153.765714285714,stop_loss
9,2025-12-15 18:30:00+00:00,XAUUSD,SELL,4290.89,0.02,4314.545714285714,4243.638571428572,continuation_breakout,0.5705221800651873,-47.31142857142826,4314.545714285714,stop_loss
10,2026-01-08 07:05:00+00:00,XAUUSD,SELL,4427.78,0.02,4436.1164285714285,4411.1671428571435,continuation_breakout,0.6255462648311011,-16.672857142856536,4436.1164285714285,stop_loss
11,2026-01-09 02:50:00+00:00,XAUUSD,SELL,4462.0,0.02,4471.737857142857,4442.584285714286,continuation_breakout,0.7115664696435903,-19.47571428571405,4471.737857142857,stop_loss
12,2026-01-15 13:30:00+00:00,XAUUSD,BUY,4621.54,0.02,4613.652857142857,4637.254285714285,continuation_breakout,0.6777909375946668,-15.774285714285549,4613.652857142857,stop_loss
13,2026-02-09 18:00:00+00:00,XAUUSD,BUY,5067.09,0.02,5041.707142857143,5117.795714285715,continuation_breakout,0.627820150960498,-50.76571428571492,5041.707142857143,stop_loss
14,2026-03-04 01:45:00+00:00,XAUUSD,BUY,5182.7201953125,0.02,5144.128662109375,5259.84326171875,continuation_breakout,0.6287836142665149,-77.18306640625,5144.128662109375,stop_loss
15,2026-03-27 14:45:00+00:00,XAUUSD,BUY,4503.3198046875,0.02,4463.95703125,4581.9853515625,continuation_breakout,0.480412793068914,157.33109375,4581.9853515625,take_profit
16,2026-04-07 22:30:00+00:00,XAUUSD,BUY,4788.8198046875,0.02,4746.478271484375,4873.44287109375,continuation_breakout,0.6897091833258169,169.2461328125,4873.44287109375,take_profit
17,2026-04-14 17:35:00+00:00,XAUUSD,BUY,4862.2201953125,0.02,4841.61408342634,4903.372419084822,continuation_breakout,0.6919036339143367,-41.21222377232143,4841.61408342634,stop_loss
18,2026-04-17 20:35:00+00:00,XAUUSD,SELL,4862.7798046875,0.02,4875.742745535715,4836.913922991072,continuation_breakout,0.5945179989654044,-25.925881696428576,4875.742745535715,stop_loss
