trade_idx,timestamp,symbol,side,entry_price,quantity,stop_loss,take_profit,strategy,strength,pnl,exit_price,exit_reason
0,2025-02-04 14:45:00+00:00,XAUUSD,BUY,2821.32,0.02,2818.072857142857,2827.7542857142857,continuation_breakout,0.5918994661614578,12.868571428571771,2827.7542857142857,take_profit
1,2025-02-11 03:50:00+00:00,XAUUSD,BUY,2935.51,0.02,2928.27,2949.9300000000003,continuation_breakout,0.7468335777453304,-14.48000000000038,2928.27,stop_loss
2,2025-04-04 06:05:00+00:00,XAUUSD,SELL,3091.72,0.02,3101.6914285714283,3071.8371428571427,continuation_breakout,0.7405919533418955,-19.9428571428571,3101.6914285714283,stop_loss
3,2025-04-09 22:40:00+00:00,XAUUSD,BUY,3098.46,0.02,3084.4714285714285,3126.377142857143,continuation_breakout,0.633421850909014,-27.977142857143043,3084.4714285714285,stop_loss
4,2025-04-16 22:05:00+00:00,XAUUSD,BUY,3342.24,0.02,3336.1057142857144,3354.448571428571,continuation_breakout,0.6171389781598865,-12.26857142857122,3336.1057142857144,stop_loss
5,2025-04-30 16:35:00+00:00,XAUUSD,BUY,3319.1,0.02,3305.0499999999997,3347.1400000000003,continuation_breakout,0.6288427255787287,-28.10000000000014,3305.0499999999997,stop_loss
6,2025-05-16 01:35:00+00:00,XAUUSD,BUY,3249.31,0.02,3243.7514285714287,3260.3671428571424,continuation_breakout,0.6929054335775675,-11.117142857142593,3243.7514285714287,stop_loss
7,2025-05-16 04:45:00+00:00,XAUUSD,SELL,3215.5,0.02,3226.2000000000003,3194.16,continuation_breakout,0.5548352755876175,-21.40000000000019,3226.2000000000003,stop_loss
8,2025-05-22 05:40:00+00:00,XAUUSD,BUY,3343.54,0.02,3336.7971428571427,3356.965714285714,continuation_breakout,0.6399329528404698,-13.485714285714272,3336.7971428571427,stop_loss
9,2025-05-23 08:50:00+00:00,XAUUSD,BUY,3324.28,0.02,3318.694285714286,3335.3914285714286,continuation_breakout,0.7442796110365797,22.222857142857425,3335.3914285714286,take_profit
10,2025-05-23 15:35:00+00:00,XAUUSD,BUY,3358.53,0.02,3342.247142857143,3391.035714285714,continuation_breakout,0.6111905129217796,-32.565714285714066,3342.247142857143,stop_loss
11,2025-05-28 11:10:00+00:00,XAUUSD,BUY,3323.72,0.02,3316.61,3337.8799999999997,continuation_breakout,0.8109308885754479,-14.21999999999977,3316.61,stop_loss
12,2025-06-10 08:30:00+00:00,XAUUSD,BUY,3316.92,0.02,3311.64,3327.42,continuation_breakout,0.5193578730212024,21.000000000000096,3327.42,take_profit
13,2025-06-10 14:05:00+00:00,XAUUSD,BUY,3336.73,0.02,3332.634285714286,3344.8614285714284,continuation_breakout,0.642712581875734,-8.191428571428627,3332.634285714286,stop_loss
14,2025-06-12 01:00:00+00:00,XAUUSD,BUY,3357.9,0.02,3353.421428571429,3366.7971428571427,continuation_breakout,0.7487546200438319,17.794285714285216,3366.7971428571427,take_profit
