2026-02-12 12:57:02 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:03 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:05 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:06 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:08 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:09 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:11 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:12 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:14 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:15 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:17 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:18 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:20 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:21 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:23 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:24 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:26 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
2026-02-12 12:57:27 | INFO     | strategy.momentum_scalp | Signal generated | side=BUY | strength=1.0 | regime=TREND | entry=67323.12 | sl=67249.11053571428 | tp=67471.13892857142
