trade_idx,timestamp,symbol,side,entry_price,quantity,stop_loss,take_profit,strategy,strength,r_dollars,pnl,exit_price,exit_reason,date,month,R
3,2026-01-05 08:15:00+00:00,USDJPY,SELL,156.819,0.18,157.01,,london_breakout,0.65,22.65642,10.31994,156.732,time_stop,2026-01-05,2026-01,0.4554973821989529
4,2026-01-06 08:05:00+00:00,USDJPY,SELL,156.212,0.19,156.49349999999998,,london_breakout,0.65,35.2466149999975,-35.2466149999975,156.49349999999998,stop_loss,2026-01-06,2026-01,-1.0
5,2026-01-08 07:55:00+00:00,USDJPY,SELL,156.463,0.18,156.69150000000002,,london_breakout,0.65,27.104670000002372,-27.104670000002372,156.69150000000002,stop_loss,2026-01-08,2026-01,-1.0
6,2026-01-09 07:10:00+00:00,USDJPY,BUY,157.45200000000003,0.18,157.1655,,london_breakout,0.65,33.98463000000237,13.16682,157.56300000000002,time_stop,2026-01-09,2026-01,0.387434554973795
7,2026-01-13 08:30:00+00:00,USDJPY,BUY,158.987,0.15,158.481,,london_breakout,0.65,50.0181,-11.0712,158.875,time_stop,2026-01-13,2026-01,-0.22134387351778656
8,2026-01-14 08:00:00+00:00,USDJPY,SELL,159.077,0.18,159.264,,london_breakout,0.65,22.18194,61.56378,158.558,time_stop,2026-01-14,2026-01,2.7754010695187166
9,2026-01-15 07:10:00+00:00,USDJPY,BUY,158.683,0.18,158.4685,,london_breakout,0.65,25.44399,-25.44399,158.4685,stop_loss,2026-01-15,2026-01,-1.0
10,2026-01-19 07:35:00+00:00,USDJPY,BUY,157.98,0.18,157.71450000000002,,london_breakout,0.65,31.493609999997627,-8.65926,157.907,time_stop,2026-01-19,2026-01,-0.2749529190207363
11,2026-01-20 07:00:00+00:00,USDJPY,BUY,158.533,0.18,158.221,,london_breakout,0.65,37.00944,-37.00944,158.221,stop_loss,2026-01-20,2026-01,-1.0
12,2026-01-21 08:15:00+00:00,USDJPY,SELL,157.832,0.18,158.0455,,london_breakout,0.65,25.32537,-25.32537,158.0455,stop_loss,2026-01-21,2026-01,-1.0
13,2026-01-22 07:05:00+00:00,USDJPY,BUY,158.857,0.18,158.51999999999998,,london_breakout,0.65,39.97494000000237,-7.354439999997628,158.79500000000002,time_stop,2026-01-22,2026-01,-0.18397626112752619
14,2026-01-23 07:15:00+00:00,USDJPY,BUY,159.009,0.18,158.751,,london_breakout,0.65,30.60396,-30.60396,158.751,stop_loss,2026-01-23,2026-01,-1.0
15,2026-01-26 08:30:00+00:00,USDJPY,SELL,153.585,0.09,154.355,,london_breakout,0.65,45.6687,-14.35302,153.827,time_stop,2026-01-26,2026-01,-0.3142857142857143
16,2026-01-27 07:50:00+00:00,USDJPY,BUY,154.736,0.18,154.457,,london_breakout,0.65,33.09498,-33.09498,154.457,stop_loss,2026-01-27,2026-01,-1.0
17,2026-01-28 07:10:00+00:00,USDJPY,SELL,152.366,0.18,152.684,,london_breakout,0.65,37.72116,-37.72116,152.684,stop_loss,2026-01-28,2026-01,-1.0
18,2026-01-29 08:35:00+00:00,USDJPY,BUY,153.406,0.18,153.091,,london_breakout,0.65,37.3653,-31.67154,153.139,time_stop,2026-01-29,2026-01,-0.8476190476190477
19,2026-01-30 09:25:00+00:00,USDJPY,BUY,154.197,0.14,153.66649999999998,,london_breakout,0.65,48.94393000000184,37.8266,154.607,time_stop,2026-01-30,2026-01,0.772855796418444
20,2026-02-03 09:10:00+00:00,USDJPY,BUY,155.673,0.18,155.512,,london_breakout,0.65,19.09782,19.69092,155.839,time_stop,2026-02-03,2026-02,1.031055900621118
21,2026-02-04 07:10:00+00:00,USDJPY,BUY,156.419,0.18,156.1245,,london_breakout,0.65,34.93359,24.43572,156.625,time_stop,2026-02-04,2026-02,0.699490662139219
