trade_idx,timestamp,symbol,side,entry_price,quantity,stop_loss,take_profit,strategy,strength,r_dollars,pnl,exit_price,exit_reason
0,2025-12-08 00:00:00+00:00,GBPUSD,BUY,1.33242,0.07,1.3261164285714286,,monday_drift,0.6,44.1249999999998,2.6600000000014,1.3328000000000002,time_stop
1,2025-12-15 00:00:00+00:00,GBPUSD,BUY,1.33612,0.08,1.3302235714285715,,monday_drift,0.6,47.171428571428,9.28,1.33728,time_stop
2,2025-12-22 00:00:00+00:00,GBPUSD,BUY,1.3383700000000003,0.08,1.332275,,monday_drift,0.6,48.7600000000016,62.9599999999984,1.34624,time_stop
3,2025-12-29 00:00:00+00:00,GBPUSD,BUY,1.35038,0.08,1.3445657142857144,,monday_drift,0.6,46.5142857142848,-0.7199999999984,1.3502900000000002,time_stop
4,2026-01-05 00:00:00+00:00,GBPUSD,BUY,1.3442700000000003,0.1,1.339367142857143,,monday_drift,0.6,49.028571428572,101.999999999998,1.35447,time_stop
5,2026-01-12 00:00:00+00:00,GBPUSD,BUY,1.34127,0.09,1.3357285714285716,,monday_drift,0.6,49.8728571428556,45.4500000000018,1.3463200000000002,time_stop
6,2026-01-19 00:00:00+00:00,GBPUSD,BUY,1.33881,0.07,1.33244,,monday_drift,0.6,44.59,27.58,1.34275,time_stop
7,2026-01-26 00:00:00+00:00,GBPUSD,BUY,1.3649,0.07,1.3578092857142858,,monday_drift,0.6,49.6349999999994,21.2800000000014,1.3679400000000002,time_stop
8,2026-02-02 00:00:00+00:00,GBPUSD,BUY,1.3703000000000003,0.05,1.361349285714286,,monday_drift,0.6,44.753571428571,-21.150000000001,1.36607,time_stop
9,2026-02-09 00:00:00+00:00,GBPUSD,BUY,1.36165,0.05,1.351967857142857,,monday_drift,0.6,48.410714285715,41.1,1.36987,time_stop
10,2026-02-16 00:00:00+00:00,GBPUSD,BUY,1.36456,0.06,1.3565842857142858,,monday_drift,0.6,47.8542857142852,-8.82,1.36309,time_stop
11,2026-04-13 00:00:00+00:00,GBPUSD,BUY,1.3392200000000003,0.05,1.3300200000000002,,monday_drift,0.6,46.0,56.549999999999,1.35053,time_stop
12,2026-04-20 00:00:00+00:00,GBPUSD,BUY,1.34849,0.06,1.3403135714285714,,monday_drift,0.6,49.0585714285716,30.1200000000012,1.3535100000000002,time_stop
13,2026-04-27 00:00:00+00:00,GBPUSD,BUY,1.3515,0.07,1.3445721428571429,,monday_drift,0.6,48.4949999999997,12.81,1.35333,time_stop
14,2026-05-04 00:00:00+00:00,GBPUSD,BUY,1.35819,0.07,1.35111,,monday_drift,0.6,49.56,-34.9299999999986,1.3532000000000002,time_stop
15,2026-05-11 00:00:00+00:00,GBPUSD,BUY,1.35955,0.06,1.351727857142857,,monday_drift,0.6,46.932857142858,8.2800000000012,1.3609300000000002,time_stop
16,2026-05-25 00:00:00+00:00,GBPUSD,BUY,1.3480000000000003,0.06,1.340024285714286,,monday_drift,0.6,47.8542857142852,15.8399999999988,1.35064,time_stop
